Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |               0               1               2               3               4               5               6               7               8               9
--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     65 | ( 75,150)= 4414 ( 70,150)=    0 ( 70,150)=    0 ( 61,149)=    0 ( 56,149)=    0 ( 51,149)=    0 ( 46,149)=    0 ( 42,149)=    0 ( 37,149)=    0 ( 32,148)=    0 
     66 | (225, 57)= 4402 (223, 57)=    0 (223, 57)=    0 (219, 57)=    0 (217, 57)=    0 (215, 57)=    0 (213, 57)=    0 (211, 57)=    0 (209, 57)=    0 (207, 57)=    0 
     67 | (111,131)= 4337 (108,131)=    0 (108,131)=    0 (102,131)=    0 ( 99,131)=    0 ( 97,131)=    0 ( 94,131)=    0 ( 91,131)=    0 ( 88,130)=    0 ( 85,130)=    0 
     68 | (184,101)= 4184 (182,101)=    0 (182,101)=    0 (176,100)=    0 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     69 | ( 76,138)= 4167 ( 71,138)=    0 ( 71,138)=    0 ( 61,138)=    0 ( 57,137)=    0 ( 52,137)=    0 ( 47,137)=    0 ( 42,137)=    0 ( 38,137)=    0 ( 33,137)=    0 
     70 | ( 43,116)= 4050 ( 38,116)=    0 ( 38,116)=    0 ( 28,116)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     71 | (137, 77)= 3854 (135, 77)=    0 (135, 77)=    0 (130, 77)=    0 (128, 77)=    0 (126, 77)=    0 (124, 77)=    0 (122, 77)=    0 (120, 77)=    0 (118, 77)=    0 
     72 | (257, 87)= 3842 (255, 87)=    0 (255, 87)=    0 (251, 87)=    0 (249, 87)=    0 (247, 87)=    0 (245, 87)=    0 (242, 87)=    0 (240, 87)=    0 (238, 87)=    0 
     73 | (255,165)= 3596 (252,165)=    0 (252,165)=    0 (245,166)=    0 (242,166)=    0 (239,166)=    0 (236,167)=    0 (232,167)=    0 (229,167)=    0 (226,168)=    0 
     74 | (225,212)= 3560 (219,212)=    0 (219,212)=    0 (208,213)=    0 (202,213)=    0 (196,214)=    0 (191,215)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     75 | ( 32, 71)= 3534 ( 27, 71)=    0 ( 27, 71)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     76 | (104,151)= 3520 (101,151)=    0 (101,151)=    0 ( 95,151)=    0 ( 92,151)=    0 ( 89,151)=    0 ( 87,150)=    0 ( 84,150)=    0 ( 81,150)=    0 ( 78,150)=    0 
     77 | (160,118)= 3401 (158,118)=    0 (158,118)=    0 (153,118)=    0 (151,118)=    0 (149,118)=    0 (147,118)=    0 (145,118)=    0 (143,118)=    0 (141,118)=    0 
     78 | ( 72,188)= 3349 ( 67,188)=    0 ( 67,188)=    0 ( 58,187)=    0 ( 53,187)=    0 ( 48,187)=    0 ( 43,186)=    0 ( 39,186)=    0 ( 34,186)=    0 ( 30,186)=    0 
